"Method","Type","Mean","Avg |t|","% Sig","Total N"
"Duarte-Jones-Wang - All_Observations","C","-0.4940","10.16","88%","673,085"
"Duarte-Jones-Wang - All_Observations","P","-0.4078","9.23","88%","789,721"
"Duarte-Jones-Wang - Midpoint","C","-2.6840","5.89","88%"," 39,067"
"Duarte-Jones-Wang - Midpoint","P","-2.4435","5.67","62%"," 42,431"
"Duarte-Jones-Wang - Random","C","-2.7929","5.75","75%"," 39,067"
"Duarte-Jones-Wang - Random","P","-2.5710","5.05","62%"," 42,431"
"Muravyev-Ni - All_Observations","C","-0.9581","21.56","100%","425,718"
"Muravyev-Ni - All_Observations","P","-0.3811","10.25","88%","423,733"
"Muravyev-Ni - Midpoint","C","-3.5712","8.67","88%"," 27,498"
"Muravyev-Ni - Midpoint","P","-2.0172","5.45","88%"," 27,903"
"Muravyev-Ni - Random","C","-3.5004","8.17","100%"," 27,498"
"Muravyev-Ni - Random","P","-2.3467","4.82","75%"," 27,903"
